ISO,SUM(incidencia)
PB-177,9412.0
PB-087,8412.0
PB-019,7783.0
PB-081,7762.0
PB-005,7274.0
PB-145,7254.0
PB-205,6747.0
PB-191,6665.0
PB-045,6415.0
PB-026,6307.0
PB-068,6056.0
PB-110,5931.0
PB-003,5769.0
PB-112,5690.0
PB-054,5570.0
PB-048,5453.0
PB-096,5443.0
PB-099,5438.0
PB-113,5412.0
PB-159,5286.0
PB-090,5100.0
PB-163,4847.0
PB-088,4816.0
PB-139,4803.0
PB-143,4707.0
PB-038,4544.0
PB-124,4514.0
PB-073,4502.0
PB-040,4476.0
PB-193,4448.0
PB-135,4309.0
PB-203,4118.0
PB-036,4085.0
PB-089,4057.0
PB-107,3975.0
PB-106,3970.0
PB-094,3782.0
PB-211,3719.0
PB-046,3645.0
PB-146,3582.0
PB-147,3524.0
PB-008,3461.0
PB-060,3457.0
PB-210,3379.0
PB-181,3334.0
PB-190,3331.0
PB-131,3331.0
PB-091,3320.0
PB-201,3303.0
PB-050,3291.0
PB-064,3239.0
PB-204,3230.0
PB-082,3170.0
PB-058,3160.0
PB-155,3154.0
PB-011,3090.0
PB-175,3054.0
PB-021,2923.0
PB-084,2833.0
PB-116,2833.0
PB-207,2817.0
PB-136,2810.0
PB-063,2758.0
PB-202,2681.0
PB-169,2670.0
PB-115,2658.0
PB-103,2646.0
PB-028,2599.0
PB-120,2582.0
PB-171,2537.0
PB-123,2513.0
PB-075,2502.0
PB-206,2479.0
PB-158,2452.0
PB-196,2452.0
PB-057,2452.0
PB-179,2447.0
PB-137,2420.0
PB-059,2404.0
PB-187,2399.0
PB-051,2376.0
PB-034,2375.0
PB-154,2353.0
PB-182,2312.0
PB-165,2298.0
PB-053,2294.0
PB-056,2294.0
PB-092,2286.0
PB-199,2274.0
PB-029,2273.0
PB-014,2252.0
PB-010,2228.0
PB-109,2222.0
PB-039,2174.0
PB-144,2155.0
PB-061,2152.0
PB-067,2140.0
PB-142,2117.0
PB-160,2106.0
PB-195,2103.0
PB-156,2096.0
PB-077,2093.0
PB-025,2069.0
PB-100,2067.0
PB-102,2059.0
PB-020,2049.0
PB-043,2036.0
PB-151,2018.0
PB-030,2013.0
PB-200,1970.0
PB-027,1947.0
PB-170,1878.0
PB-031,1796.0
PB-117,1777.0
PB-129,1773.0
PB-076,1760.0
PB-012,1752.0
PB-161,1745.0
PB-004,1741.0
PB-098,1734.0
PB-184,1703.0
PB-189,1658.0
PB-157,1636.0
PB-148,1626.0
PB-176,1611.0
PB-052,1585.0
PB-208,1541.0
PB-174,1536.0
PB-062,1528.0
PB-097,1518.0
PB-141,1517.0
PB-172,1508.0
PB-066,1499.0
PB-223,1473.0
PB-186,1473.0
PB-105,1460.0
PB-214,1426.0
PB-216,1406.0
PB-083,1400.0
PB-185,1368.0
PB-166,1357.0
PB-041,1356.0
PB-016,1343.0
PB-218,1338.0
PB-140,1330.0
PB-215,1325.0
PB-192,1323.0
PB-217,1322.0
PB-080,1310.0
PB-013,1294.0
PB-006,1256.0
PB-213,1255.0
PB-134,1240.0
PB-126,1232.0
PB-122,1225.0
PB-074,1224.0
PB-024,1209.0
PB-023,1208.0
PB-017,1195.0
PB-180,1179.0
PB-037,1178.0
PB-018,1177.0
PB-212,1173.0
PB-121,1146.0
PB-078,1119.0
PB-065,1115.0
PB-104,1096.0
PB-047,1096.0
PB-072,1060.0
PB-222,1053.0
PB-069,1052.0
PB-007,1051.0
PB-035,1045.0
PB-167,1017.0
PB-153,1002.0
PB-127,987.0
PB-164,978.0
PB-001,938.0
PB-095,910.0
PB-044,906.0
PB-125,889.0
PB-033,889.0
PB-071,863.0
PB-220,854.0
PB-173,852.0
PB-219,847.0
PB-093,826.0
PB-183,791.0
PB-133,790.0
PB-194,789.0
PB-086,786.0
PB-022,773.0
PB-009,759.0
PB-070,755.0
PB-150,742.0
PB-119,730.0
PB-114,710.0
PB-130,704.0
PB-079,702.0
PB-118,687.0
PB-197,659.0
PB-149,643.0
PB-015,610.0
PB-108,573.0
PB-209,562.0
PB-162,562.0
PB-128,554.0
PB-049,548.0
PB-138,548.0
PB-032,542.0
PB-002,514.0
PB-178,488.0
PB-198,454.0
PB-188,424.0
PB-168,424.0
PB-055,405.0
PB-221,317.0
PB-042,298.0
PB-132,296.0
PB-085,261.0
PB-111,219.0
PB-101,214.0
PB-152,190.0
